sentence,label
"This version of Bun-bun is an artificial intelligence designed to act and look like Bun-bun, without explicit reference to the source.",0
"They were like minor gods to me.""",1
"You want to feel like you are going to recognize something of yourself in what's going on stage otherwise, you feel left out.’""(Karch, Pierre)",0
"A sicilicus was an old Latin diacritical mark,  ͗, like a reversed C (Ɔ) placed above a letter and evidently deriving its name from its shape like a little sickle (which is sicilis in Latin).",1
"At some point a reworked, more harmonious front end was introduced, featuring what looked like twin stacked headlights but what were actually headlamps on top and auxiliaries beneath.",1
"Moira gave Tate the couple's gun, which Tate used to make it look like a murder/suicide.",0
"A fight ensued as West drove the ironman into the river, where he sank like a knight in armor.",1
It looks like the concept was invented in the early 1960s.,0
Its members were like a family.,1
However she realizes that Senator Vaughn knew that Sterling was attracted to women who looked like Kate and was actually hoping that she would be assaulted so she could blackmail Sterling into supporting the Paycheck Fairness Act.,0
"In a press conference during which the new image was shared, a former classmate of Martinko's exclaimed that the face looked like another one of their classmates; however, that classmate had been investigated and was cleared based on a DNA swab several years before.",0
"Before that I always felt like I wasn’t good enough because I wasn’t Baldwin, or Toni Morrison, or Richard Wright,"" but after reading Myers's work, ""the floodgates were opened.""",0
"It is like a virtual yellow stickie note, that can be delivered to an individual when they arrive at a message location.",0
"However, one critic says that ""lazy writing goes with lazy thought"", and it is often a mark of a weak story with poor evidence or an attempt to dress up something as more significant or interesting: ""Journalese is like a poker player's tell: it shows that the reporter knows the story is flimsy and he or she is trying to make it appear more solid.""",1
"Chandran is very affectionate towards Ravi, for whom, Chandran is like an elder brother.",0
"Were we all of one way of thinking, our religious dispositions would want matter for probation; and on this liberal principle, I look on the various denominations among us, to be like children of the same family, differing only, in what is called, their Christian names.",1
 Shallow fried like paratha,0
Rushin discusses the link between the military and baseball and describes how the military endeavored to design a hand grenade shaped like a baseball which they believed would give American soldiers a natural advantage over the enemy because of the soldier's prowess in throwing balls.,1
"In the 1997 musical, The Fix, Phoenix is alluded to in the song ""Mistress of Deception"" in the lines, ""Hot young actor died last night at an L.A. club/Ecstasy and booze/And too much NyQuil/Had the sweetest face/Warm and shy and innocent/Sexy in that careless kinda way/The newsman said his heart just stopped like that ..."" The Hugh Cornwell song ""Rain on the River"" from his 2009 album Hooverdam is directly about the death of Phoenix, as his sister Rain sits over her dying brother on the sidewalk outside The Viper Room.",0
"When we wrote 'I Will Rise,' Louie said he felt like we should have a song for when people look over a grave or lose someone to give them a song of hope.",0
"The One reviewed the Amiga version of Chip's Challenge in 1990, giving it an overall score of 88%, and expressing that while ""It might not look or sound like much, but Chip's Challenge packs a very addictive punch.",0
"The exposed film was developed like ordinary black-and-white film, producing a series of black-and-white silver images on each side.",0
The facade is topped by a pressed metal cornice with brackets designed to look like dentils.,1
"Some of these differences can be attributed to variables like induction technique, context of the study, or classification of stimuli, which can alter a perceived scenario or emotional response.",0
"PLEO rb is designed to behave like a life-form, with 4 distinct life stages.",1
"After his brigade spent the first few months of the war digging defensive positions in expectation of a repeat of the trench warfare of 1914–1918, in February 1940 Gammell returned to England, where he was given a new role as Chief of Staff of the newly created IV Corps, then commanded by Lieutenant General Claude Auchinleck, who noted that Gammell ""worked like a slave"" and that his ""energy, determination and devotion to duty were remarkable"", and then of Allied Forces Norway during the ill-fated Norwegian Campaign later that year.",1
"At first they were compared to bands like the Village People for parallels in music on their first album, but later returned to their more rockish roots with the release of their second album titled ""Rico & The Ravens"", issued in Australia only.",0
"Paul also says that being a successful songwriter is like being a journalist who writes about what he sees and knows, the times people are living in and the things people are facing today.",0
"The lines ""Waiting at the station/I'm late for work, a vital presentation"" were said to take reference to Microsoft PowerPoint by music website Popjustice, while the line ""I'm in pieces, seems like peace is the only thing I'll never know"" was highlighted by Fraser McAlpine of the BBC as being the most memorable in the song in addition to having a devilish internal rhyme.",0
"The royal botanist  John Parkinson found privet ""so apt that no other can be like unto it, to be cut, lead, and drawn into what forme one will, either of beasts, birds, or men armed or otherwise.""",0
The art form to her is like second skin.,1
"This Rath Yatra, undertaken in an air-conditioned van decorated to look like a chariot, began from Somnath in Gujarat and covered a large portion of Northern India until it was stopped by the Chief Minister of Bihar, Lalu Prasad Yadav, on the grounds that it was leading to communal violence.",1
"One of Rupp's early successful teams, he would give the '44 team the nickname ""the Beardless Wonders"" and ""Wildkittens"" because according to Rupp, ""It was like running a Kindergarten.""",0
A private key is like a password that gives its owner access to their digital assets or the means to otherwise interact with the various capabilities that blockchains now support.,1
"Morgan Blake of the Atlanta Journal wrote, ""Everett Strupper played like a veritable demon.",1
"The contemporary film review of Flying Cadets by Bosley Crowther in The New York Times, noted, ""For this low-budget Universal picture, which is like a hundred others off the line, is no more than a routine program-filler, no stronger than its weakest cliché, about a free-and-easy old-time flier who teaches at an aviation school and discovers — at the fearful climax, naturally — that his most neglected pupil is his own son.""",0
"Paul Schultz of The Trades described the song as having ""some dandy harmony vocals"" and noted how the lyrics of ""She said like it or not it's the way it's gotta be / You gotta love yourself if you can ever love me"" talked about how people try to work out relationships.",0
"Dance, properly taught, is like sport, properly understood.""",1
"Thus the electrolyte is treated as if it were like a weak acid and a constant, K, can be derived for the equilibrium",0
"7 (""Furby"")/Geezerbot 1000: A robot that is designed to look like an old man.",1
""", Jo declares she will rise so high that she will make Alex look like a fool for having left her, and admits she cannot hate Alex because of how much he loved her.",1
"Simon Karas is known to be interested in a double-ison technique, and he tried to reconstruct how it could sound like in the older 15th- 16th-century practices, when there appeared indeed some first attempts to create a ""Native Byzantine alternative to Western polyphony"".",0
Morina is an evil witch that cursed Froggy to look like a frog and trapped him into the magic mirror.,0
"Red Sea colored red, the Atlas Mountains shaped like a palm tree, the chicken-foot Alps, the Danube's ""hillocks"").",1
"Rolling Stone quipped, ""Isn't it amazing how a good (jacked) Kanye West beat can turn a sixth-string Dipset mumbler into a guy who sounds like he knows what he's doing?",0
"Mike meets the client, who is revealed to be Nacho, and they discuss what seems like a ""hit"" on some ""guy"".",0
"Furthermore, the festival program has occasionally included special tributes to artists like Signe Baumane, Jacques- Rémy Girerd etc.",0
"Three years after the show was cancelled, the CW president Mark Pedowitz stated that the failure of the show helped the network realise what type of show their audience wanted, which enabled them to start ordering more shows that were like that.",0
A routine file might look like this (for a routine called 'sampleproc'):,0
"Dawison was considered in Germany an actor of a new type; a leading critic wrote that he and Marie Seebach swept like fresh gales over dusty tradition, and brushing aside the monotony of declamation gave to their roles more character and vivacity than had hitherto been known on the German stage.",1
It didn't feel like a remake.,0
"Gatiss wrote this early draft for a generic Doctor, though Moffat commented it sounded like Jon Pertwee and Gatiss agreed.",0
"Ezra: ""JR and I tipped the stage forward, Rasvar moved the lighting truss and Simba dropped a piece of drywall and a couple other things in front of the stage to make it look like everything was happening.",0
The second one is like what lawyers charge for their hourly jobs.,0
"In the Japanese film culture, directors normally wanted music that sounded like well-known Western works; Kurosawa specifically had Hayasaka compose music that sounded like Ravel's Bolero.",0
 Carimañolas (like empanadas but made up of manioc),0
"Bakshi's unwillingness to use anthropomorphic characters that behaved like feral animals led him to rewrite a scene in ""Fritz Bugs Out"" where Duke saves Fritz's life by flying while holding Fritz; in the film, Duke grabs a railing before the car crashes into the river, a solution that Bakshi wasn't entirely satisfied with, but prevented him from having to use any feral animal behavior in that scene.",1
"Coulson believes the only way to get answers is to use Hydra's memory machine on himself, knowing that doing so would be like torture.",1
"He speaks like a dragon commanding the people of the Earth to make an image ""to"" the beast that was wounded by a sword.",1
"He's like a mash-up of Douglas Adams and Stephen King, both smart and goofy, scary and funny – it really spoke to me.",1
"It opens like a compact, with an upper and lower screen.",0
"He recalled: ""I just felt like I was useless at the time.",0
"Idarklight of Cfensi, in her positive review of the film, wrote ""From some of the boldest music choices to drastic switches in tone of cinematography to one of the most interesting shootout scenes in a while, A Better Tomorrow 2018 felt like a firework so  bursting with life that  it left me too busy savoring every minute details of brilliance to think about its flaws.",1
"It was 'his' voice, nobody else spoke like that, half American, half English and a little Cockney thrown in.""",0
"Do you feel like a puzzle, you can't find your missing piece?"").",1
"""Even if in German, people felt what 99 Balloons meant and that was enough… It's like a good picture; it's unforgettable"" Rakete later said about the hit single.",0
...Silver Springs sounded like a pretty fabulous place to me.,0
"It's not going to feel like a reboot.""",0
"However, she echoed Crowe's defense of her casting: ""The character was not supposed to look like her background which was a quarter Hawaiian and a quarter Chinese.""",0
The defending troops were shocked by the sight of a hitherto unknown bulldozer covered with armored plates that looked like a huge tank.,1
"""Lonely People"" was written within a few weeks of Dan Peek's 1973 marriage to Catherine Mayberry: Peek- ""I always felt like a melancholy, lonely person.",0
"The second set does not have the DVD, and the launcher does not look like a dragon.",1
"""It also made it easy to sell to actors like Stanley Tucci and Sofia Vergara because their parts were very set out.",0
"Thailand's prime minister Mr. Samak was quoted in the Thai newspaper The Nation as saying that, “We [OREC] don’t aspire to be like OPEC, but we hope to be just a group of five to help each other in trading rice on the world market”.",0
"She was found after eight years, with her body preserved like wax due to the lack of oxygen in the water.",1
"Tyldesley used her own experiences to portray the scenes and said that she ""felt like I'd given birth"".",0
"In this work, the ruins of the Summer Palace are juxtaposed with their national pavilions; the open notebook seems like a history book, recording and telling the great changes in its history.",1
"Swain re-enacted a rough sleep for the charities SASH and Simon On The Streets in 2019, spending 24 hours without life’s luxuries and authentically portraying what sleeping rough is like to help raise money and awareness for the cause.",0
"When they elected Daniel, Sulien's younger son, it began to look like a state with hereditary leadership; King Henry I was able to use the Norman presence around Dewisland to prevent Daniel's consecration.",0
"Listening is like sitting through a film you much admire but fervently wish would hurry up and end"".",1
"""Black metal songs are meant to be like Calvinist sermons; deadly serious attempts to unite the true believers"".",0
"A New York Times Magazine article ""The Changing World of New York Intellectuals"", foregrounded the contributors to The New Criterion, observing that ""The youthful contributors to Hilton Kramer's magazine—Bruce Bawer, Mimi Kramer, Roger Kimball—are still in their 20s, but they manage to sound like the British critic F.R.",0
"In season 1, the contestants recognized that Studio G looked like a garage and asked Ruff why, which in the episode, really annoyed Ruff and told them it was not a garage and that it was ""Studio G"".",1
"He was driven to play like his newfound hero, and would play along with the recordings, attempting to match the pace of de Lucia's picados.",1
"Stuart Galbraith IV of DVD Talk noted that since ""the series had exhausted every reasonably plausible story situation that could be derived from its limited premise, of seven castaways shipwrecked on an uncharted island in the Pacific […] the show's writers looked for any excuse to cut loose […] and by the third season this seemed like every other episode, dream sequences became the modus operandi.""",0
He uses a rapier called Tomboy that can coil like a spring and that can extend several street blocks.,1
"In an experiment, a convicted criminal, offered a full pardon on the condition he takes a Jaunt awake, emerges on the other side but instantly suffers a massive heart attack, uttering the cryptic phrase: ""It's eternity in there...""; the story features a boy who avoided being knocked unconscious for the trip to see what it was like and was driven apparently hopelessly insane by the sheer loneliness of the experience.",0
This can cause the library to collapse like a house of cards as many classes are damaged by one change to a base class.,1
"He compared this with Prime Minister Gordon Brown's response which Cable claimed was to be like a ""Fairy Godmother"" to the banks, and a ""sideshow"".",1
"Entertainment Weekly included him their list of ""21 Most Annoying TV Characters Ever"", commenting: ""Oliver (Taylor Handley) was around for only six episodes, but it seemed like much longer.",0
"Just as it looked like the game was going to be settled in a penalty shoot-out, the Blasters managed to steal the tie when Stephen Pearson scored in the 117th minute and thus help the Kerala Blasters win 4–3 on aggregate.",0
"Although she was not told the whole truth, and this topic was almost never discussed, Lyuba understood that there was a certain ""secret"" in the family, and she didn't feel like there is a need to get to the bottom of it.",0
The façade on Broadway was three stories high and finished to look like stone.,1
"Nancy Koh from The Straits Times commented that ""her moves were slick, her dancing sexy, and she even skipped like a delighted schoolgirl after receiving a few presents from the audience"", but also criticized the medley of A Few Best Men.",1
"After the expedition concluded, Cousteau remarked ""I didn't know how I was going to react – physically, psychologically – [but] it was amazing how much it felt like home.""",1
"Dan Ilic of Time Out Sydney stated that Humphries delivers ""a show that almost feels like a blue print for the foundations for the last fifty years of Australian comedy"".",1
 Allow the user to visualize what the website will look like when published,0
"In modern biolinguistics, the X-bar tree is argued to be like natural systems such as ferromagnetic droplets and botanic forms.",1
MC Lyte talked about her career in rap music and what it was like during the beginnings of hip hop.,0
"Each time the tube was inverted or shaken, the impact of the fluid at each end would sound like a hammer blow.",1
"Werkmeister's on-screen step mother and father, Jackie Woodburne and Alan Fletcher said it was good to have him back for their 20th year with Neighbours and Woodburne commented, ""It seems like yesterday that Matt walked on set as a young boy still at primary school, and suddenly now he's a grown man!",0
"AppAdvice wrote ""Clue for the iPhone is a fun game that is almost infinitely replayable, very pleasing to the eye and ear with stylized graphics and a catchy background soundtrack, and it has redefined how we think of the game of Clue, and, for that matter, how we think of adapted board games to devices like the iPhone.""",0
"But when his family is killed by hit men from his own uncle, León Carbajal (Rubén Zamora), he must live with his nanny Elba Paez (Helena Mallarino), the only survivor of the massacre, changing her name to Nieves and her image completely, To look like a street teenager.",1
"Lithgow said of his character, ""playing Lizardo felt like playing the madman in The Cabinet of Dr.",0
"This album features Scott's interplay of music and storytelling, using the actual instruments of course but also the song titles themselves to create a package of tunes that sound like the score for a collection of short stories or miniature films.",0
Holiday said that she always wanted her voice to sound like an instrument and some of her influences were Louis Armstrong and the singer Bessie Smith.,1
"Stephen W. Smith (The Guardian) noted that the general critical consensus is that the book ""reads like a novel"" while being ""as rigorous as an academic history.""",0
"These include a description of a ship as a ""Lazlar Lyricon custom job,"" as well as the line, ""looks like a brick, steers like a shopping trolley,"" which echoes Ford Prefect's description of a Lazlar Lyricon ship: ""Looks like a fish, moves like a fish, steers like a cow.""",1
"So the meaning of Hornnes is ""the headland shaped like a horn"", probably referring to the small peninsulas on either side of the river Otra as it enters the lake Breidflå.",1
The legend is that her long skirt acted like a parachute and then caught in the bushes by a ledge to halt her fall.,1
"In 376, the Romans allowed a  number of ostensibly Christian Goths, including bishops and priests, to cross the Danube, but these ""looked like clowns to the pagan Romans, and utterly scandalized the Roman Christians"", supposing that they were in fact pagan Goths who had dressed up as Christian clerics in order to be granted asylum by the Romans.",1
I’d been studying astral projections and it sounded like we were floating through space so I said let’s call it 'Astral Traveling.',0
"Hetfield and Ulrich described the songwriting process as starting with ""guitar riffs, assembled and reassembled until they start to sound like a song"".",0
"He oddly flickered like a ghost around Kaku, his sweetheart.",1
"Kim tells Rex he doesn't know anything about why he's being haunted by Gigi, but after he talks to Rex, she later visits her presumed best friend and Gigi's sister Stacy Morasco in the hospital, who was actually in a coma for several months after she showed up at the strip club to reveal to Kim that she survived drowning in that frozen lake she fell in, and later got plastic surgery so that she could look like Gigi so that she could take over her life!",0
"And while changes like these could seem like sellout moves for a group that once wrote a song called ""Rock 'N' Roll Bullshit"", they were a vital next step in the evolution of [insert whatever eclectic punk CD you're listening to today].",0
The idee was to fix things so black folks are free to be like God wanted 'em to be.,0
"Conversely, he finds that the self-titled album his version released ""is completely indicative and representative that the guys in the band that I play in are in fact Queensrÿche, because it sounds like it.""",0
 is a kombu (a type of Japanese seaweed) monster who manipulates its tentacles like whips.,1
"The overall effect is that it ""looks like a unified homogenous whole"".",0
"Despite an often cited singular instance of his hissing at the national anthem, he was courted by royalty and presented with several gold medals, one of them from the Russian Tsar Nicholas, on whom a visit to Wallsend colliery on Tyneside had made an unforgettable impression: ""My God,"" he had cried, ""it is like the mouth of Hell.""",1
" ""Flowers (this too will pass)"" by The Dream Fighters, a song about what it was like to be a child in New Orleans when the levees broke.",0
"From this type of settlement, long linear villages developed like Auhagen, Wiedensahl, Isernhagen, Kathrinhagen or Rodewald in Lower Saxony.",0
"It's like a door has opened for her and she's emerged from a world that's black and white into one that's full of color.""",0
"They threw up what is described as a ""remarkable bow wave, which rose like a solid wall for thirteen feet, the like of which has never been observed.""",1
"""Alien"" describes what it is like to be lost in someone's feelings and how alienating it can be.",0
"The gore has now become so gratuitous that Harry has begun to look like a trigger-happy fool.""",1
In the years that followed the park became less popular and it looked like the Safaripark would go bankrupt.,0
"Round Hill's radio station (which included an early radio telescope, built atop a water tower designed to look like the foundation of a lighthouse) followed Donald B. MacMillan's and Admiral Richard E. Byrd's polar expeditions, tracked the Graf Zeppelin dirigible during its maiden transatlantic flight, and was the sole communication link for areas devastated by the Vermont floods in 1927.",0
"To ensure she inherits Jason's share of the Falcon Crest winery per the unique conditions of his will, Angela stages Jason's death to look like a drunken car accident.",1
"However, if the malicious user enters a valid Username and injects some valid code (password' OR '1'='1) in the Password field, then the resulting query will look like this:",0
"It was like aquaplaning in an ice-cold tub, but in the cockpit it was very hot and steamy so that at 80mph I only had a dim outline of the comers and only the outlines of spray telling me that another car was in front.""",0
"It operates like a boutique, with a selection of thousands of new and almost-new dresses, shoes and accessories.",0
"This particular project gave me an opportunity to begin to understand what it is like for a family to support a critically ill child, and for a palliative-care team to support that family.",0
"Julia Alexander of Polygon said there was ""quite a bit happening"" in the footage and it ""finally feels like Marvel has made the movie it always wanted to—and the one we've always wanted to see.""",0
"Iizuka and the rest of Sonic Team provided guidance and made sure the team did not ""go off the rails into something that doesn't feel like Sonic"".",0
"On 13 February 1805 St Fiorenzo found the  and two vessels that looked like merchantmen, off Vishakhapatnam.",0
"It seems like it has all the elements this band is known for: strong lyrics, strong hook, and a good sense of melody.",0
"What's awesome about that is, think about what it would be like to grow up in this world.",0
The show is going to be like nothing heard on radio before.,0
"This is a problem for him because falling in love with her would be like letting Jimmy down, so he invents Gala that he cannot be with her because he is gay and his partner is Lucas.",0
Darren drives to a cliff side and tips Patrick's wheelchair over to make it look like he committed suicide.,0
He does note that the specimen looked like no other reptile known from the Carboniferous.,0
"He tried to explain the tides as the result of the Earth's rotation and revolution around the Sun, believing that the oceans moved like water in a large basin: as the basin moves, so does the water.",1
"And while again the passage on Joseph in the one designates a period in which this tribe successfully defended itself against its enemies, the corresponding passage in the other (Gen. 49:22ff) points to a time when Ephraim maintained his power undiminished and defeated his enemies on all sides: ""His [Joseph's] glory is like the firstling of his bullock, and his horns are like the horns of unicorns: with them he shall push the people together to the ends of the earth"" (Deut.",0
"This would change our first example above to look like this: zǐ initial (), zǐ initial 1 kè  (), zǐ initial 2 kè (), zǐ initial 3 kè (), zǐ initial 4 kè (), zǐ central (), zǐ central 1 kè (), zǐ central 2 kè (), zǐ central 3 kè (), zǐ central 4 kè (), chǒu initial ().",0
"What he has actually heard is Edith, aware of Jim's presence, pretending to talk to her sister as she exchanges their clothes and jewelry and sets the corpse up to look like a suicide.",0
"Below, kneeling in purple, is Prince Henry the Navigator, master of the Order of Christ, with what seems like that order's cross pendant on his neck and a loose belt of the Order of the Garter.",0
"While this seems to Chris like a fair compromise, it essentially means that Paulie is profiting from the whole situation by only returning half of the cash he stole from the dead waiter.",0
The alignment with the Broncos has allowed current players to experience what it is like to train in a NRL environment.,0
"1UP.com lambasted the port for what they called its slapdash quality, criticizing its display, controls, and dated design, and saying it ""feels like it wasn't even tuned for the Xbox 360 controller and its analog sticks"".",0
"But the music aside, he was like any 16-year-old kid - feisty, causing us trouble.",1
Mahendranath describes his impressions about J. J Goodwin that Good was twenty three or twenty four years old but he looked like that of a thirty five as he had a hard life.,0
"Hillenburg, who ran just six laps in the two practice sessions prior to the race, expressed interest in running the full race, stating, ""I don't want to look like we're trying to capitalize on anything, but this is our window of opportunity.",0
"Goldenthal said, ""My job was chiefly composing dramatic music that didn't necessarily have to sound like it came from 1931 or 1933.",0
"For many other singer/songwriters, that singing style would feel like a strange affectation.",1
"When he dies his death is like a television being turned off, leaving silence.",1
"It sounds like Bon Jovi, but it sounds fresh.",0
These new ideas enabled the  amassing and translation of Greek concepts to disseminate like never before.,0
"Although the incident looked like it would end his season early, Earnhardt refused to stay out of the car.",0
"The review points out, ""Overall, Jaideep Sen's debut film Krazzy 4 seems like an off shoot of the 70s comedies from Hrishikesh Mukherjee.",0
The path which whole movement travelled it looked like a mass revolution.,1
"The cylinder head (known as the ""junk head"") is like a fixed, inverted piston with its own set of rings projecting down inside the inner sleeve.",1
"The ""Be A Legend"" mode, however, did not get much of the same praise; GameTrailers said that the mode ""feels like a missed opportunity.""",1
He mentioned a method of sticking needles in a stroboscopic disc so that it looked like one needle was being pushed in and out of the cardboard when animated.,0
"Giving it 4 out of 5 stars, Markos Papadatos of Digital Journal wrote that ""With this new song, he has shown maturity as both a vocalist and songwriter…'Bottoms Up' seems like a fun track for him to play at his live shows that will surely get the crowd excited.""",0
"It looked like they were considering my sexual orientation.""",0
The standard setlist of the tour mostly looked like the following:,0
He said the latter was important because it creates atmosphere and that he did not want it to look like anything else.,0
"""We wanted to be doing something at least that was a little bit relevant now; bit of a dry mix, detuned a bit,"" vocalist Joey Tempest said, ""So we felt like we didn't want to do an '80s album per se, we just wanted to start like a fresh band really.""",0
"In the flesh he looks like a very large pony, and when he wasn't fit you might have wondered if he'd be capable of Three-Day eventing.",1
"Also included is a special introduction by the band's lead singer, Anthony Kiedis and comments by Flea, Chad Smith and Josh Klinghoffer on what it is like to be a dedicated fan to something.",0
"He spent his early years in Beaumont, California, where his parents owned and operated a movie theater; James said, ""My story is like Cinema Paradiso.",0
"MacDonell, official head of the Glengarry clan, was to say about his squadron's pilots ""...it's like holding a team of wild horses when there are Germans near"".",0
"On recording a new song, Stevens said, ""the pressure's sort of off — but it's also on — because it doesn't have to sound like it did before, but it should sound good enough to sit alongside the music that's already pretty great.""",0
"With IKM and Manning entering a sport-sharing agreement, it looked like the right time for many of its members to find a new home.",0
"(According to his commentary on the DVD, he looked like a ""smurf on acid"".)",1
"Sometimes brownies are stated to appear like children, either naked or dressed in white tunics.",1
"Often employees feel the urge to remain within the company they've been working with, even though it may not seem like the smartest choice, objectively, because of tradition, relationships or a simple feeling of belonging.",0
"Ken Hechler describes how impressed Perkins was with ""the huge, open-faced, smiling man who taught economics but talked like a down-to-earth fellow...he seemed to know what he was talking about on all the labor issues that interested Secretary Perkins.""",1
